path,noisy_labels_0,noisy_labels_1,noisy_labels_5,noisy_labels_25,noisy_labels_50,is_valid
train/n03028079/ILSVRC2012_val_00035753.JPEG,n03028079,n03028079,n03028079,n03028079,n03394916,FALSE
train/n03394916/n03394916_46395.JPEG,n03394916,n02102040,n03394916,n03394916,n03394916,FALSE
train/n03888257/n03888257_13075.JPEG,n03888257,n03888257,n03888257,n03888257,n03888257,FALSE
train/n02102040/n02102040_1913.JPEG,n02102040,n02102040,n02102040,n02102040,n03425413,FALSE
train/n03445777/n03445777_15126.JPEG,n03445777,n03445777,n03445777,n03445777,n03445777,FALSE
train/n03417042/n03417042_21055.JPEG,n03417042,n03417042,n03425413,n03417042,n03028079,FALSE
train/n03000684/n03000684_13727.JPEG,n03000684,n03000684,n03000684,n03000684,n01440764,FALSE
train/n03425413/n03425413_14793.JPEG,n03425413,n03425413,n03425413,n03425413,n03888257,FALSE
train/n02979186/n02979186_21154.JPEG,n02979186,n02979186,n03394916,n02979186,n02979186,FALSE
train/n03425413/n03425413_21329.JPEG,n03425413,n03425413,n03425413,n03425413,n02979186,FALSE
train/n03028079/n03028079_9484.JPEG,n03028079,n03028079,n03028079,n03028079,n03028079,FALSE
train/n03417042/n03417042_7469.JPEG,n03417042,n03417042,n03417042,n03417042,n03425413,FALSE
train/n03888257/n03888257_25803.JPEG,n03888257,n03888257,n03888257,n02979186,n03000684,FALSE
train/n03888257/n03888257_15797.JPEG,n03888257,n03888257,n03888257,n03000684,n03417042,FALSE
train/n03028079/n03028079_3616.JPEG,n03028079,n03028079,n03028079,n03028079,n03028079,FALSE
train/n02102040/n02102040_3088.JPEG,n02102040,n02102040,n02102040,n02102040,n02102040,FALSE
train/n03445777/n03445777_2468.JPEG,n03445777,n03445777,n03445777,n03445777,n03445777,FALSE
train/n03888257/n03888257_71023.JPEG,n03888257,n03888257,n03888257,n03888257,n03888257,FALSE
train/n01440764/n01440764_3273.JPEG,n01440764,n01440764,n01440764,n01440764,n03445777,FALSE
train/n03028079/n03028079_17779.JPEG,n03028079,n03028079,n03028079,n03028079,n03028079,FALSE
train/n03425413/n03425413_10719.JPEG,n03425413,n03425413,n03425413,n03425413,n03000684,FALSE
train/n03417042/n03417042_4966.JPEG,n03417042,n03417042,n03417042,n03417042,n02102040,FALSE
train/n03394916/n03394916_51373.JPEG,n03394916,n03394916,n03394916,n03425413,n03394916,FALSE
train/n03425413/n03425413_2588.JPEG,n03425413,n03425413,n03425413,n03425413,n01440764,FALSE
train/n02979186/n02979186_3279.JPEG,n02979186,n02979186,n03028079,n03888257,n03425413,FALSE
train/n02102040/n02102040_4168.JPEG,n02102040,n02102040,n02102040,n02102040,n02102040,FALSE
train/n03888257/n03888257_18947.JPEG,n03888257,n03888257,n03888257,n03888257,n03000684,FALSE
train/n03028079/n03028079_34763.JPEG,n03028079,n03028079,n03028079,n02102040,n03888257,FALSE
train/n03000684/n03000684_7588.JPEG,n03000684,n03000684,n03000684,n03425413,n03417042,FALSE
train/n02102040/n02102040_3456.JPEG,n02102040,n02102040,n02102040,n02102040,n02102040,FALSE
train/n03888257/n03888257_10653.JPEG,n03888257,n03888257,n03888257,n03888257,n03888257,FALSE
train/n01440764/n01440764_5514.JPEG,n01440764,n01440764,n01440764,n01440764,n03028079,FALSE
train/n03888257/n03888257_48.JPEG,n03888257,n03888257,n03888257,n03888257,n03888257,FALSE
train/n01440764/n01440764_1905.JPEG,n01440764,n01440764,n01440764,n01440764,n01440764,FALSE
train/n03028079/n03028079_27209.JPEG,n03028079,n03028079,n03028079,n03028079,n02979186,FALSE
train/n02979186/n02979186_3646.JPEG,n02979186,n02979186,n02979186,n02979186,n03000684,FALSE
train/n03445777/n03445777_2873.JPEG,n03445777,n03445777,n03445777,n03445777,n02979186,FALSE
train/n03394916/n03394916_42795.JPEG,n03394916,n03394916,n03394916,n03888257,n03394916,FALSE
train/n03445777/n03445777_2339.JPEG,n03445777,n03445777,n03028079,n03445777,n03445777,FALSE
train/n03000684/n03000684_919.JPEG,n03000684,n03000684,n03000684,n03000684,n01440764,FALSE
train/n02979186/n02979186_2774.JPEG,n02979186,n02979186,n02979186,n02979186,n03888257,FALSE
train/n03028079/n03028079_14516.JPEG,n03028079,n03028079,n03028079,n03000684,n03028079,FALSE
train/n03028079/n03028079_20538.JPEG,n03028079,n03028079,n03028079,n03028079,n03028079,FALSE
train/n03394916/n03394916_33405.JPEG,n03394916,n03394916,n03394916,n03394916,n03000684,FALSE
train/n03000684/n03000684_7157.JPEG,n03000684,n03000684,n03000684,n03888257,n03000684,FALSE
train/n03028079/n03028079_25708.JPEG,n03028079,n03028079,n03028079,n03028079,n03417042,FALSE
train/n02979186/n02979186_2745.JPEG,n02979186,n02979186,n02979186,n03394916,n02979186,FALSE
train/n02979186/n02979186_8558.JPEG,n02979186,n02979186,n02979186,n02979186,n03028079,FALSE
train/n03000684/n03000684_5566.JPEG,n03000684,n03000684,n03000684,n03445777,n02102040,FALSE
train/n03028079/n03028079_10873.JPEG,n03028079,n03028079,n03028079,n03028079,n03445777,FALSE
train/n02979186/n02979186_12839.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,FALSE
train/n03417042/n03417042_3868.JPEG,n03417042,n03417042,n03417042,n03417042,n03417042,FALSE
train/n03000684/n03000684_19966.JPEG,n03000684,n03000684,n03000684,n03000684,n03394916,FALSE
train/n03425413/n03425413_9453.JPEG,n03425413,n03425413,n03425413,n03425413,n03425413,FALSE
train/n03445777/n03445777_2113.JPEG,n03445777,n03445777,n03445777,n03000684,n03028079,FALSE
train/n02979186/n02979186_19337.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,FALSE
train/n03028079/n03028079_4773.JPEG,n03028079,n03028079,n03028079,n03028079,n02979186,FALSE
train/n03425413/n03425413_12869.JPEG,n03425413,n03425413,n03425413,n03425413,n03425413,FALSE
train/n03417042/n03417042_15898.JPEG,n03417042,n03417042,n03417042,n03417042,n02102040,FALSE
train/n01440764/n01440764_9649.JPEG,n01440764,n01440764,n01440764,n01440764,n03888257,FALSE
train/n03028079/n03028079_3654.JPEG,n03028079,n03028079,n03028079,n03028079,n02102040,FALSE
train/n03028079/n03028079_123455.JPEG,n03028079,n03028079,n03028079,n03028079,n01440764,FALSE
train/n03888257/n03888257_3093.JPEG,n03888257,n03888257,n03888257,n03888257,n03888257,FALSE
train/n02102040/n02102040_1629.JPEG,n02102040,n02102040,n02102040,n01440764,n03394916,FALSE
train/n03888257/n03888257_56857.JPEG,n03888257,n03888257,n03888257,n03888257,n03028079,FALSE
train/n03000684/n03000684_13559.JPEG,n03000684,n03000684,n03000684,n03000684,n03417042,FALSE
train/n03417042/n03417042_10717.JPEG,n03417042,n03417042,n03417042,n03417042,n03417042,FALSE
train/n02102040/n02102040_213.JPEG,n02102040,n02102040,n02102040,n02102040,n02102040,FALSE
train/n03445777/n03445777_13748.JPEG,n03445777,n03445777,n03445777,n03445777,n03445777,FALSE
train/n02102040/n02102040_5395.JPEG,n02102040,n02102040,n02102040,n02102040,n02102040,FALSE
train/n02102040/n02102040_3604.JPEG,n02102040,n02102040,n02102040,n03417042,n03028079,FALSE
train/n02979186/n02979186_15197.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,FALSE
train/n03394916/n03394916_51764.JPEG,n03394916,n03394916,n02979186,n02979186,n03000684,FALSE
train/n03000684/n03000684_6696.JPEG,n03000684,n03000684,n03000684,n03888257,n03028079,FALSE
train/n03425413/n03425413_718.JPEG,n03425413,n03425413,n03425413,n03425413,n03028079,FALSE
train/n03445777/n03445777_12724.JPEG,n03445777,n03445777,n03000684,n03445777,n03000684,FALSE
train/n02979186/n02979186_24084.JPEG,n02979186,n02979186,n02979186,n03000684,n02979186,FALSE
train/n03445777/n03445777_3429.JPEG,n03445777,n03445777,n03445777,n03445777,n03000684,FALSE
train/n01440764/n01440764_14779.JPEG,n01440764,n01440764,n01440764,n01440764,n02979186,FALSE
train/n01440764/n01440764_886.JPEG,n01440764,n01440764,n01440764,n01440764,n01440764,FALSE
train/n03417042/n03417042_4349.JPEG,n03417042,n03417042,n03417042,n03417042,n03425413,FALSE
train/n03425413/n03425413_21104.JPEG,n03425413,n03425413,n03425413,n03425413,n03425413,FALSE
train/n03425413/n03425413_1199.JPEG,n03425413,n03425413,n03425413,n03425413,n03425413,FALSE
train/n03394916/n03394916_8274.JPEG,n03394916,n03394916,n03394916,n03394916,n03394916,FALSE
train/n03425413/n03425413_8248.JPEG,n03425413,n03425413,n03425413,n01440764,n03000684,FALSE
train/n03445777/n03445777_4253.JPEG,n03445777,n03445777,n03445777,n03028079,n02979186,FALSE
train/n03394916/n03394916_22083.JPEG,n03394916,n03394916,n03394916,n03394916,n03394916,FALSE
train/n03445777/ILSVRC2012_val_00038768.JPEG,n03445777,n03445777,n03445777,n03445777,n03445777,FALSE
train/n03394916/n03394916_31586.JPEG,n03394916,n03394916,n03394916,n03394916,n03000684,FALSE
train/n02979186/n02979186_23329.JPEG,n02979186,n02979186,n02979186,n03417042,n03394916,FALSE
train/n02102040/n02102040_1444.JPEG,n02102040,n02102040,n02102040,n03417042,n01440764,FALSE
train/n03000684/n03000684_31155.JPEG,n03000684,n03000684,n03000684,n03000684,n03888257,FALSE
train/n01440764/n01440764_4003.JPEG,n01440764,n01440764,n01440764,n01440764,n03394916,FALSE
train/n03028079/n03028079_41087.JPEG,n03028079,n03028079,n03028079,n03028079,n03445777,FALSE
train/n03417042/n03417042_17616.JPEG,n03417042,n03417042,n03028079,n02979186,n02979186,FALSE
train/n03394916/n03394916_34364.JPEG,n03394916,n03394916,n03394916,n03028079,n03028079,FALSE
train/n02979186/n02979186_7838.JPEG,n02979186,n02979186,n02979186,n03000684,n03394916,FALSE
train/n03445777/n03445777_8209.JPEG,n03445777,n03445777,n03445777,n01440764,n03445777,FALSE
train/n01440764/n01440764_11914.JPEG,n01440764,n01440764,n01440764,n01440764,n01440764,FALSE
train/n01440764/n01440764_31953.JPEG,n01440764,n01440764,n02102040,n01440764,n03028079,FALSE
train/n03425413/n03425413_26983.JPEG,n03425413,n03425413,n03425413,n03425413,n03425413,FALSE
train/n03445777/n03445777_3996.JPEG,n03445777,n03445777,n03445777,n03417042,n03445777,FALSE
train/n02979186/n02979186_26708.JPEG,n02979186,n02979186,n02979186,n03394916,n02979186,FALSE
train/n03445777/n03445777_828.JPEG,n03445777,n03445777,n03445777,n03425413,n02979186,FALSE
train/n02979186/n02979186_11953.JPEG,n02979186,n02979186,n02979186,n02979186,n03028079,FALSE
train/n03888257/n03888257_17326.JPEG,n03888257,n03888257,n03888257,n03888257,n02979186,FALSE
train/n01440764/n01440764_13059.JPEG,n01440764,n01440764,n01440764,n01440764,n03394916,FALSE
train/n03888257/n03888257_8614.JPEG,n03888257,n03888257,n03888257,n03888257,n03888257,FALSE
train/n03425413/n03425413_8014.JPEG,n03425413,n03425413,n03425413,n03425413,n03425413,FALSE
train/n03445777/n03445777_16036.JPEG,n03445777,n03445777,n03445777,n03000684,n03000684,FALSE
train/n03000684/n03000684_18475.JPEG,n03000684,n03000684,n03000684,n03000684,n02979186,FALSE
train/n03445777/n03445777_3928.JPEG,n03445777,n03445777,n03445777,n03445777,n02102040,FALSE
train/n03394916/n03394916_32486.JPEG,n03394916,n03394916,n03394916,n03394916,n01440764,FALSE
train/n03000684/n03000684_4353.JPEG,n03000684,n03000684,n03000684,n03000684,n03000684,FALSE
train/n03028079/n03028079_4795.JPEG,n03028079,n03028079,n03028079,n03028079,n03417042,FALSE
train/n03394916/n03394916_32616.JPEG,n03394916,n03394916,n03394916,n03394916,n03000684,FALSE
train/n03417042/ILSVRC2012_val_00012925.JPEG,n03417042,n03417042,n03417042,n03417042,n03417042,FALSE
train/n02979186/n02979186_5353.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,FALSE
train/n03445777/n03445777_4188.JPEG,n03445777,n03445777,n03417042,n03445777,n03888257,FALSE
train/n01440764/n01440764_5776.JPEG,n01440764,n01440764,n01440764,n01440764,n03394916,FALSE
train/n03028079/n03028079_16423.JPEG,n03028079,n03028079,n03028079,n03417042,n01440764,FALSE
train/n02979186/n02979186_20355.JPEG,n02979186,n02979186,n01440764,n03888257,n03028079,FALSE
train/n03394916/n03394916_38808.JPEG,n03394916,n03394916,n03394916,n03394916,n03394916,FALSE
train/n01440764/n01440764_5456.JPEG,n01440764,n01440764,n01440764,n01440764,n01440764,FALSE
train/n03000684/n03000684_5044.JPEG,n03000684,n03000684,n03000684,n03000684,n03394916,FALSE
train/n01440764/n01440764_8164.JPEG,n01440764,n01440764,n01440764,n02979186,n03394916,FALSE
train/n03425413/n03425413_748.JPEG,n03425413,n03425413,n03425413,n03425413,n03425413,FALSE
train/n03394916/n03394916_44775.JPEG,n03394916,n03394916,n03394916,n03394916,n03394916,FALSE
train/n03425413/n03425413_7659.JPEG,n03425413,n03425413,n03425413,n03445777,n03425413,FALSE
train/n01440764/n01440764_10398.JPEG,n01440764,n01440764,n01440764,n01440764,n01440764,FALSE
train/n03425413/n03425413_16755.JPEG,n03425413,n03425413,n03425413,n03425413,n03425413,FALSE
train/n01440764/n01440764_9609.JPEG,n01440764,n01440764,n01440764,n01440764,n03028079,FALSE
train/n03425413/n03425413_18634.JPEG,n03425413,n03425413,n03425413,n03425413,n03425413,FALSE
train/n02102040/n02102040_1276.JPEG,n02102040,n02102040,n02102040,n02102040,n02102040,FALSE
train/n02102040/n02102040_3526.JPEG,n02102040,n02102040,n02102040,n02102040,n01440764,FALSE
train/n02979186/n02979186_2127.JPEG,n02979186,n02979186,n02979186,n02979186,n03417042,FALSE
train/n02102040/n02102040_7998.JPEG,n02102040,n02102040,n02102040,n02102040,n02102040,FALSE
train/n02979186/n02979186_3104.JPEG,n02979186,n02979186,n02979186,n02979186,n02979186,FALSE
train/n02102040/n02102040_3156.JPEG,n02102040,n02102040,n02102040,n02102040,n02102040,FALSE
train/n01440764/n01440764_30985.JPEG,n01440764,n01440764,n01440764,n01440764,n01440764,FALSE
train/n03028079/n03028079_73549.JPEG,n03028079,n03028079,n03028079,n03028079,n03028079,FALSE
train/n03425413/n03425413_8567.JPEG,n03425413,n03425413,n03425413,n03425413,n03445777,FALSE
train/n02979186/n02979186_14137.JPEG,n02979186,n02979186,n02979186,n03417042,n03445777,FALSE
train/n03888257/n03888257_20649.JPEG,n03888257,n03888257,n03888257,n03888257,n02102040,FALSE
train/n03417042/n03417042_5236.JPEG,n03417042,n03417042,n03417042,n03417042,n02102040,FALSE
train/n02979186/ILSVRC2012_val_00034395.JPEG,n02979186,n02979186,n02979186,n02979186,n03445777,FALSE
train/n03000684/n03000684_7225.JPEG,n03000684,n03000684,n03000684,n03000684,n03394916,FALSE
train/n03425413/n03425413_9229.JPEG,n03425413,n03425413,n03425413,n03425413,n03425413,FALSE
train/n01440764/n01440764_3778.JPEG,n01440764,n01440764,n01440764,n01440764,n01440764,FALSE
train/n03028079/n03028079_18085.JPEG,n03028079,n03028079,n03028079,n01440764,n03028079,FALSE
train/n03445777/n03445777_9908.JPEG,n03445777,n03445777,n03445777,n03445777,n01440764,FALSE
train/n03888257/n03888257_11943.JPEG,n03888257,n03888257,n03888257,n03425413,n01440764,FALSE
train/n03888257/n03888257_6738.JPEG,n03888257,n03888257,n03888257,n03888257,n03888257,FALSE
train/n03445777/n03445777_8839.JPEG,n03445777,n03445777,n03445777,n03445777,n03445777,FALSE
train/n03394916/n03394916_68437.JPEG,n03394916,n03394916,n03394916,n03394916,n03445777,FALSE
train/n03888257/ILSVRC2012_val_00047705.JPEG,n03888257,n03888257,n03888257,n02979186,n03445777,FALSE
train/n03394916/n03394916_25364.JPEG,n03394916,n03394916,n03394916,n03888257,n03888257,FALSE
train/n03445777/n03445777_4109.JPEG,n03445777,n03445777,n03445777,n03445777,n02979186,FALSE
train/n01440764/n01440764_12996.JPEG,n01440764,n01440764,n01440764,n01440764,n01440764,FALSE
train/n03000684/n03000684_967.JPEG,n03000684,n03000684,n03000684,n03000684,n03425413,FALSE
train/n02979186/n02979186_8445.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,FALSE
train/n03000684/n03000684_4883.JPEG,n03000684,n03000684,n03000684,n03000684,n03888257,FALSE
train/n02979186/n02979186_2819.JPEG,n02979186,n02979186,n02979186,n02979186,n02102040,FALSE
train/n03888257/n03888257_27624.JPEG,n03888257,n03888257,n03888257,n03888257,n03394916,FALSE
train/n03425413/n03425413_26258.JPEG,n03425413,n03425413,n03425413,n03425413,n03417042,FALSE
train/n03888257/n03888257_16267.JPEG,n03888257,n03888257,n03888257,n03888257,n03888257,FALSE
train/n02102040/n02102040_7168.JPEG,n02102040,n02102040,n02102040,n02102040,n02102040,FALSE
train/n03394916/n03394916_37186.JPEG,n03394916,n03394916,n03394916,n03000684,n03394916,FALSE
train/n03394916/n03394916_28544.JPEG,n03394916,n03394916,n03394916,n03394916,n03000684,FALSE
train/n03000684/n03000684_20136.JPEG,n03000684,n03000684,n03000684,n03000684,n02102040,FALSE
train/n01440764/n01440764_5154.JPEG,n01440764,n01440764,n01440764,n03425413,n01440764,FALSE
train/n03445777/n03445777_8954.JPEG,n03445777,n03445777,n03445777,n03445777,n01440764,FALSE
train/n02979186/n02979186_10179.JPEG,n02979186,n02979186,n02979186,n03394916,n02102040,FALSE
train/n03394916/n03394916_28947.JPEG,n03394916,n03394916,n03394916,n03394916,n03417042,FALSE
train/n03028079/n03028079_3255.JPEG,n03028079,n03028079,n03028079,n03028079,n03028079,FALSE
train/n03425413/n03425413_14528.JPEG,n03425413,n03425413,n03425413,n03425413,n03000684,FALSE
train/n03888257/n03888257_6468.JPEG,n03888257,n03888257,n03888257,n03888257,n03888257,FALSE
train/n03888257/n03888257_9193.JPEG,n03888257,n03888257,n03888257,n03888257,n03417042,FALSE
train/n03445777/n03445777_959.JPEG,n03445777,n03445777,n03445777,n03445777,n03445777,FALSE
train/n03417042/n03417042_5346.JPEG,n03417042,n03417042,n03417042,n03000684,n03417042,FALSE
train/n01440764/n01440764_9788.JPEG,n01440764,n01440764,n01440764,n01440764,n03000684,FALSE
train/n03417042/n03417042_7629.JPEG,n03417042,n03417042,n03417042,n03417042,n03417042,FALSE
train/n01440764/n01440764_26257.JPEG,n01440764,n01440764,n01440764,n03888257,n03417042,FALSE
train/n03028079/n03028079_9674.JPEG,n03028079,n03028079,n03028079,n03028079,n03028079,FALSE
train/n03394916/n03394916_73213.JPEG,n03394916,n03394916,n03394916,n03394916,n03394916,FALSE
train/n02979186/n02979186_10349.JPEG,n02979186,n02979186,n02979186,n02979186,n03425413,FALSE
train/n01440764/n01440764_12534.JPEG,n01440764,n01440764,n01440764,n01440764,n03000684,FALSE
train/n02102040/n02102040_484.JPEG,n02102040,n02102040,n02102040,n02102040,n02102040,FALSE
train/n03000684/n03000684_8115.JPEG,n03000684,n03000684,n03000684,n03000684,n03888257,FALSE
train/n03888257/n03888257_11053.JPEG,n03888257,n03888257,n03888257,n03028079,n03888257,FALSE
train/n03445777/n03445777_768.JPEG,n03445777,n03445777,n03445777,n03445777,n03425413,FALSE
train/n01440764/n01440764_17789.JPEG,n01440764,n01440764,n01440764,n01440764,n03425413,FALSE
train/n03000684/n03000684_18788.JPEG,n03000684,n03000684,n03000684,n03000684,n03000684,FALSE
train/n03028079/n03028079_9176.JPEG,n03028079,n03028079,n03028079,n03028079,n02102040,FALSE
train/n03394916/n03394916_29266.JPEG,n03394916,n03394916,n03394916,n03394916,n03028079,FALSE
train/n03028079/n03028079_26579.JPEG,n03028079,n03028079,n03028079,n03888257,n03028079,FALSE
train/n02102040/n02102040_245.JPEG,n02102040,n02102040,n02102040,n02102040,n02102040,FALSE
train/n03000684/n03000684_12887.JPEG,n03000684,n03000684,n03000684,n03000684,n03000684,FALSE
train/n03394916/n03394916_38327.JPEG,n03394916,n03394916,n03394916,n03394916,n03394916,FALSE
train/n03394916/n03394916_29704.JPEG,n03394916,n03394916,n03394916,n03394916,n02979186,FALSE
train/n03425413/n03425413_1788.JPEG,n03425413,n03425413,n03425413,n03425413,n03425413,FALSE
train/n03888257/n03888257_67668.JPEG,n03888257,n03888257,n03888257,n03888257,n03417042,FALSE
train/n03445777/n03445777_5856.JPEG,n03445777,n03445777,n03445777,n03028079,n03445777,FALSE
train/n02979186/n02979186_12948.JPEG,n02979186,n02979186,n02979186,n03417042,n03000684,FALSE
train/n02102040/n02102040_4554.JPEG,n02102040,n02102040,n02102040,n02102040,n03888257,FALSE
train/n03028079/n03028079_54438.JPEG,n03028079,n03028079,n03028079,n03028079,n03028079,FALSE
train/n03028079/n03028079_5787.JPEG,n03028079,n03028079,n03028079,n03028079,n03028079,FALSE
train/n03888257/n03888257_10037.JPEG,n03888257,n03888257,n03888257,n03888257,n03888257,FALSE
train/n03417042/n03417042_24155.JPEG,n03417042,n03417042,n03417042,n02102040,n03000684,FALSE
train/n03394916/n03394916_38866.JPEG,n03394916,n03394916,n03394916,n03394916,n03394916,FALSE
train/n03394916/ILSVRC2012_val_00048138.JPEG,n03394916,n03394916,n03394916,n03394916,n03394916,FALSE
train/n02102040/ILSVRC2012_val_00018207.JPEG,n02102040,n02102040,n02102040,n03000684,n02102040,FALSE
train/n03888257/n03888257_31784.JPEG,n03888257,n03888257,n03888257,n03888257,n03888257,FALSE
train/n02979186/n02979186_254.JPEG,n02979186,n02979186,n02979186,n03445777,n03417042,FALSE
train/n03417042/n03417042_12936.JPEG,n03417042,n03417042,n03417042,n03417042,n01440764,FALSE
train/n03425413/n03425413_4249.JPEG,n03425413,n03425413,n03425413,n03425413,n03425413,FALSE
train/n03888257/n03888257_7294.JPEG,n03888257,n03888257,n03888257,n03888257,n03425413,FALSE
train/n03028079/n03028079_578.JPEG,n03028079,n03028079,n01440764,n03028079,n03028079,FALSE
train/n03028079/n03028079_22537.JPEG,n03028079,n03028079,n03028079,n03417042,n03028079,FALSE
train/n03445777/n03445777_8026.JPEG,n03445777,n03445777,n03445777,n03445777,n03394916,FALSE
train/n03888257/n03888257_22484.JPEG,n03888257,n03888257,n03888257,n03888257,n01440764,FALSE
train/n02102040/n02102040_6968.JPEG,n02102040,n02102040,n02102040,n03425413,n02102040,FALSE
train/n03417042/n03417042_7755.JPEG,n03417042,n03417042,n03417042,n03445777,n03417042,FALSE
train/n03028079/n03028079_39.JPEG,n03028079,n03028079,n03028079,n03028079,n03394916,FALSE
train/n02979186/n02979186_14916.JPEG,n02979186,n03888257,n02979186,n02979186,n02979186,FALSE
train/n03445777/n03445777_7154.JPEG,n03445777,n03445777,n03445777,n01440764,n03445777,FALSE
train/n02102040/n02102040_994.JPEG,n02102040,n02102040,n02102040,n02102040,n02102040,FALSE
train/n02102040/n02102040_3495.JPEG,n02102040,n02102040,n02102040,n02102040,n01440764,FALSE
train/n03028079/n03028079_14856.JPEG,n03028079,n03028079,n03028079,n03028079,n03028079,FALSE
train/n03425413/n03425413_3823.JPEG,n03425413,n03425413,n03425413,n03425413,n03394916,FALSE
train/n03417042/n03417042_11435.JPEG,n03417042,n03417042,n03417042,n03417042,n03417042,FALSE
train/n03425413/n03425413_15837.JPEG,n03425413,n03425413,n03425413,n02102040,n03000684,FALSE
train/n01440764/n01440764_19119.JPEG,n01440764,n01440764,n01440764,n03888257,n01440764,FALSE
train/n03028079/n03028079_11253.JPEG,n03028079,n03028079,n03028079,n03028079,n03028079,FALSE
train/n03394916/n03394916_33456.JPEG,n03394916,n03394916,n03394916,n03394916,n03394916,FALSE
train/n03394916/n03394916_3969.JPEG,n03394916,n03394916,n03394916,n03394916,n03394916,FALSE
train/n02979186/n02979186_2077.JPEG,n02979186,n02979186,n02979186,n02979186,n03000684,FALSE
train/n03417042/n03417042_5003.JPEG,n03417042,n03417042,n03417042,n03888257,n02102040,FALSE
train/n03417042/n03417042_5877.JPEG,n03417042,n03417042,n03417042,n03028079,n03417042,FALSE
train/n03425413/n03425413_20927.JPEG,n03425413,n03425413,n03425413,n03425413,n02979186,FALSE
train/n01440764/n01440764_7967.JPEG,n01440764,n01440764,n01440764,n03425413,n03445777,FALSE
train/n03425413/n03425413_20918.JPEG,n03425413,n03425413,n03425413,n03425413,n03445777,FALSE
train/n01440764/n01440764_11044.JPEG,n01440764,n01440764,n01440764,n03028079,n01440764,FALSE
train/n01440764/n01440764_10783.JPEG,n01440764,n01440764,n01440764,n01440764,n03000684,FALSE
train/n03417042/n03417042_5923.JPEG,n03417042,n03417042,n03417042,n03417042,n03417042,FALSE
train/n02102040/n02102040_4213.JPEG,n02102040,n02102040,n02102040,n02102040,n02979186,FALSE
train/n01440764/n01440764_9178.JPEG,n01440764,n01440764,n01440764,n01440764,n03394916,FALSE
train/n03394916/n03394916_28428.JPEG,n03394916,n03394916,n03394916,n03888257,n02102040,FALSE
train/n01440764/n01440764_8757.JPEG,n01440764,n01440764,n01440764,n03888257,n02979186,FALSE
train/n03445777/n03445777_4366.JPEG,n03445777,n03445777,n03445777,n03394916,n03445777,FALSE
train/n03445777/n03445777_9587.JPEG,n03445777,n03445777,n03445777,n03888257,n03445777,FALSE
train/n03425413/n03425413_20747.JPEG,n03425413,n03425413,n03425413,n03417042,n03425413,FALSE
train/n02979186/n02979186_10847.JPEG,n02979186,n02979186,n02979186,n02979186,n01440764,FALSE
train/n03417042/n03417042_5206.JPEG,n03417042,n03417042,n03417042,n03417042,n03417042,FALSE
